Date,Value,Date2,Value2
1948-12-01,24.05,1948-12-01,224.05
1948-11-01,24.16,1948-11-01,224.16
1948-10-01,24.31,1948-10-01,224.31
1948-09-01,24.36,1948-09-01,224.36
1948-08-01,24.43,1948-08-01,224.43
1948-07-01,24.40,1948-07-01,224.40
1948-06-01,24.15,1948-06-01,224.15
1948-05-01,24.01,1948-05-01,224.01
1948-04-01,23.82,1948-04-01,223.82
1948-03-01,23.50,1948-03-01,223.50
1948-02-01,23.67,1948-02-01,223.67
1948-01-01,23.68,1948-01-01,223.68
1947-12-01,23.41,1947-12-01,223.41
1947-11-01,23.06,1947-11-01,223.06
1947-10-01,22.91,1947-10-01,222.91
1947-09-01,22.84,1947-09-01,222.84
1947-08-01,22.40,1947-08-01,222.40
1947-07-01,22.23,1947-07-01,222.23
1947-06-01,22.08,1947-06-01,222.08
1947-05-01,21.95,1947-05-01,221.95
1947-04-01,22.00,1947-04-01,222.00
1947-03-01,22.0,,
1947-02-01,21.62,,
1947-01-01,21.48,,
