Date,XLY Adjusted Close,XLE Adjusted Close,XLF Adjusted Close,XLI Adjusted Close,XLB Adjusted Close,FRESX Adjusted Close,XLK Adjusted Close,XLU Adjusted Close,SP500 Adjusted Close,Date_CPI,CPI_EOM
2017-04-13,86.55,69.31,22.9,64.02,51.31,42.33,52.37,51.68,2328.95,2015-08-31,237.811
2017-04-12,87.16,70.6,23.2,64.48,51.81,42.45,52.58,51.85,2344.93,2015-07-31,237.876
2017-04-11,87.51,70.9,23.39,65.38,52.46,42.51,52.76,51.47,2353.78,2015-06-30,237.419
2017-04-10,87.58,70.89,23.46,65.29,52.6,42.28,52.96,51.49,2357.16,2015-05-31,236.891
2017-04-07,87.26,70.36,23.52,65.13,52.59,41.96,53.06,51.4,2355.54,2015-04-30,236.201
2017-04-06,87.52,70.63,23.62,65.06,52.64,41.92,53.09,51.62,2357.49,2015-03-31,235.989
2017-04-05,87.25,70.07,23.47,64.88,52.36,41.69,53.08,51.75,2352.95,2015-02-28,235.489
2017-04-04,87.46,70.29,23.65,65.09,52.4,41.57,53.3,51.46,2360.16,2015-01-31,234.913
2017-04-03,87.6,69.78,23.68,64.92,52.21,41.6,53.26,51.3,2358.84,2014-12-31,236.29
2017-03-31,87.95,69.9,23.73,65.06,52.41,41.45,53.31,51.31,2362.72,2014-11-30,237.118
2017-03-30,87.94,70.14,23.93,65.33,52.42,41.21,53.41,51.11,2368.06,2014-10-31,237.506
2017-03-29,87.71,70.16,23.62,64.97,52.41,41.12,53.31,51.51,2361.13,2014-09-30,237.486
2017-03-28,87.19,69.21,23.77,64.98,52.37,40.99,53.22,51.65,2358.57,2014-08-31,237.256
2017-03-27,86.53,68.24,23.45,64.3,51.77,40.81,52.84,51.69,2341.59,2014-07-31,237.424
2017-03-24,86.56,68.56,23.54,64.53,51.66,41.25,52.84,51.89,2343.98,2014-06-30,237.029
2017-03-23,86.35,68.83,23.57,64.7,52.12,41.28,52.8,51.7,2345.96,2014-05-31,236.832
2017-03-22,86.15,69.11,23.52,64.79,51.9,40.94,52.94,51.86,2348.45,2014-04-30,236.471
2017-03-21,86.05,69.21,23.57,64.56,51.75,40.96,52.61,51.61,2344.02,2014-03-31,235.978
2017-03-20,87.15,69.7,24.25,65.56,52.63,41.1,53.39,50.89,2373.47,2014-02-28,235.672
2017-03-17,87.36,69.8,24.45,65.68,52.34,41.12,53.34,51.23,2378.25,2014-01-31,235.385
2017-03-16,87.249,69.851,24.692,65.323,52.116,40.99,53.225,50.923,2381.38,2013-12-31,234.723
2017-03-15,87.259,70.348,24.652,65.622,52.475,41.09,53.195,51.489,2385.26,2013-11-30,234.121
2017-03-14,86.8,68.817,24.692,64.885,51.647,40.24,52.836,50.675,2365.45,2013-10-31,233.718
2017-03-13,86.82,69.602,24.762,65.502,52.096,40.26,52.956,50.725,2373.47,2013-09-30,233.632
2017-03-10,86.591,69.593,24.702,65.542,51.947,40.24,52.906,50.576,2372.6,2013-08-31,233.323
2017-03-09,86.461,69.692,24.722,65.144,51.707,40.37,52.627,50.159,2364.87,2013-07-31,232.889
2017-03-08,86.541,69.235,24.632,65.442,51.867,41.02,52.637,50.268,2362.98,2013-06-30,232.374
2017-03-07,86.182,71.084,24.622,65.671,51.867,41.68,52.577,51.002,2368.39,2013-05-31,231.916
2017-03-06,86.461,71.72,24.692,65.861,52.156,41.83,52.577,51.032,2375.31,2013-04-30,231.795
2017-03-03,86.741,71.561,24.881,66.02,52.495,41.99,52.657,51.131,2383.12,2013-03-31,232.299
2017-03-02,86.87,71.69,24.762,65.95,52.535,42.18,52.538,51.29,2381.92,2013-02-28,232.985
2017-03-01,87.08,72.376,25.15,66.667,53.103,42.35,52.886,50.923,2395.96,2013-01-31,231.612
2017-02-28,86.112,70.954,24.453,65.562,52.086,42.47,52.149,51.38,2363.64,2012-12-31,231.221
2017-02-27,86.76,71.173,24.463,65.831,52.136,42.73,52.398,50.913,2369.73,2012-11-30,231.249
2017-02-24,86.661,70.567,24.333,65.592,52.266,42.49,52.428,51.201,2367.34,2012-10-31,231.638
2017-02-23,86.262,71.233,24.523,65.313,52.156,42.33,52.309,50.437,2363.81,2012-09-30,231.015
2017-02-22,86.85,70.935,24.523,65.741,52.445,42.07,52.318,49.921,2362.82,2012-08-31,229.918
2017-02-21,86.85,72.028,24.503,65.92,52.305,42.26,52.259,49.712,2365.38,2012-07-31,228.59
2017-02-17,86.352,71.541,24.383,65.592,52.136,41.74,51.99,49.196,2351.16,2012-06-30,228.524
2017-02-16,86.073,71.938,24.373,65.482,52.285,41.61,51.81,49.166,2347.22,2012-05-31,228.713
2017-02-15,86.511,72.933,24.433,65.462,52.285,41.34,51.691,48.68,2349.25,2012-04-30,229.187
2017-02-14,86.063,73.221,24.244,65.114,52.355,41.54,51.522,48.799,2337.58,2012-03-31,228.807
2017-02-13,85.574,72.982,23.965,65.084,52.365,41.79,51.352,49.156,2328.25,2012-02-29,228.329
2017-02-10,85.474,72.843,23.696,64.437,51.937,41.78,51.123,48.918,2316.1,2012-01-31,227.842
2017-02-09,84.956,72.296,23.626,63.929,51.468,41.5,50.974,48.611,2307.87,2011-12-31,227.223
2017-02-08,84.427,71.491,23.307,63.442,51.488,41.43,50.814,49.027,2294.67,2011-11-30,227.169
2017-02-07,83.909,71.322,23.466,63.531,51.368,41.04,50.725,48.551,2293.08,2011-10-31,226.75
2017-02-06,83.989,72.346,23.526,63.422,51.777,41.2,50.525,48.432,2292.56,2011-09-30,226.597
2017-02-03,84.238,72.962,23.636,63.332,51.917,41.29,50.496,48.531,2297.42,2011-08-31,226.106
2017-02-02,84.348,72.336,23.167,62.864,51.827,41.07,50.167,48.472,2280.85,2011-07-31,225.395
2017-02-01,84.417,71.929,23.257,62.984,52.056,40.61,50.266,47.965,2279.55,2011-06-30,224.806
2017-01-31,84.577,72.465,23.227,63.093,51.797,41.09,49.888,48.809,2278.87,2011-05-31,224.806
2017-01-30,84.707,72.435,23.377,63.651,52.106,40.77,50.137,48.065,2280.9,2011-04-30,224.093
